,日帰り,1泊,2泊,3泊,4～6泊,7～13泊,14～20泊,21泊以上,無回答,合計,標本数
全体,4,8.4,16.5,19.3,35.3,12,1.3,2.8,0.3,100,"12,797"
韓国,2.2,8.7,29,31.1,20.1,4.4,1.1,3.2,0.3,100,"1,917"
台湾,3.9,7.8,13.7,16.4,44.3,10.9,0.8,1.9,0.3,100,"1,819"
中国,5.4,11,17.4,16.3,34.6,10,1.1,3.9,0.3,100,"2,561"
香港,1,3.8,13.3,15.8,50,14.2,0.9,0.7,0.2,100,926
タイ,6.3,10.9,13.1,19.8,33.7,12.6,1.5,1.6,0.6,100,742
シンガポール,0.8,4.5,7.3,16.5,42.6,26.5,1.6,0.2,0,100,330
マレーシア,6.7,10.3,9.6,11.8,44.2,15,1.1,1,0.3,100,278
米国,4.2,5.3,10.4,15.6,39.6,20.2,2.2,2.1,0.5,100,"1,211"
カナダ,3.2,4.4,9.4,16.5,33.8,29.4,1.8,1.1,0.3,100,272
英国,2.3,1.3,6.9,17.2,44.4,20.3,4.9,2.4,0.3,100,300
ドイツ,3.2,5,4.7,7.7,43.5,24.4,4.7,6.3,0.4,100,196
フランス,2.4,3.9,4.9,6.1,37.6,34.8,4.7,5.1,0.4,100,264
イタリア,4.5,3.6,4.1,14.1,41.9,24.6,2.4,4.4,0.3,100,196
スペイン,1.9,1.9,5.8,13.2,45.7,23.7,4.2,3.3,0.3,100,208
オーストラリア,1.6,6.9,11.5,11.3,38,26.7,3.8,0.3,0,100,424
インド,9.2,8.4,7.4,10.5,31.4,9.2,4.7,17.5,1.6,100,173
インドネシア,5.3,3.3,13.1,21.7,40.7,12.6,1.6,1.7,0,100,323
フィリピン,9.1,7.9,4.8,14.4,38,15.7,2.3,7.6,0.3,100,293
ベトナム,12.5,25.4,15.5,14.2,16.9,7,2.1,4.7,1.7,100,190
ロシア,2.4,7.8,13.1,6.7,34.7,30.2,2.6,2.5,0,100,164
その他,0,0,12.6,40.2,27.7,19.5,0,0,0,100,10
